属性名称,数值,
设备信息,PKR110,PKR110
Android版本,15,15
RAM大小(GB),10.9,10.9
SoC芯片,sun,sun
题目等权重准确率(%),49.33%,49.33%
学科等权重准确率(%),48.09%,48.09%
基线内存(MB),4592.33,4371.41
峰值内存(MB),7228.88,7270.75
模型内存(MB),2636.55,2899.34
SoC耗电量(mAh),60.608,59.981
SoC平均功耗(mA),403.306,391.889
单次推理耗电量(mAh),0.202027,0.199937
平均Token吞吐率(个/秒),34.339,34.077
通用首Token时间(微秒),1235569.0,1263961.0
首Token时间(微秒),166294.0,167448.0
每题平均时间(毫秒),1804,1837
测试开始时间,2025-11-13T12:23:10,2025-11-13T15:49:41
测试结束时间,2025-11-13T12:32:31,2025-11-13T15:59:12
测试时长(毫秒),541339,551170
报告生成时间,2025-11-13 12:41:36,2025-11-13 16:08:27
